"id","created_at","name","has_test","alternate_url"
""112763125"",""2024-12-09T13:02:19+0300"","Junior","false",""https://hh.ru/vacancy/112763125""
""112331201"",""2025-01-01T13:19:14+0300"","-","false",""https://hh.ru/vacancy/112331201""
""115060764"",""2025-01-06T11:54:32+0300"","-","false",""https://hh.ru/vacancy/115060764""
""115064292"",""2025-01-06T14:45:26+0300"","Junior","false",""https://hh.ru/vacancy/115064292""
""115097833"",""2025-01-09T01:01:02+0300"","-","false",""https://hh.ru/vacancy/115097833""
""112388836"",""2025-01-09T09:43:48+0300"","Junior","false",""https://hh.ru/vacancy/112388836""
""115118949"",""2025-01-09T10:22:47+0300"","Junior","false",""https://hh.ru/vacancy/115118949""
""115165793"",""2025-01-09T15:19:05+0300"","-","false",""https://hh.ru/vacancy/115165793""
""115210704"",""2025-01-10T08:53:21+0300"","-","true",""https://hh.ru/vacancy/115210704""
""115270774"",""2025-01-10T17:45:10+0300"","-","false",""https://hh.ru/vacancy/115270774""
""113155326"",""2025-01-11T16:31:55+0300"","Junior","false",""https://hh.ru/vacancy/113155326""
""114163817"",""2025-01-12T09:35:20+0300"","Junior","false",""https://hh.ru/vacancy/114163817""
""115345650"",""2025-01-13T05:30:53+0300"","-","false",""https://hh.ru/vacancy/115345650""
""112567531"",""2025-01-13T07:38:34+0300"","Junior","false",""https://hh.ru/vacancy/112567531""
""115362832"",""2025-01-13T09:19:24+0300"","-","false",""https://hh.ru/vacancy/115362832""
""115371098"",""2025-01-13T10:04:36+0300"","-","false",""https://hh.ru/vacancy/115371098""
""115388880"",""2025-01-13T11:32:37+0300"","Junior","false",""https://hh.ru/vacancy/115388880""
""115405868"",""2025-01-13T13:05:21+0300"","-","false",""https://hh.ru/vacancy/115405868""
""115411672"",""2025-01-13T13:44:20+0300"","-","true",""https://hh.ru/vacancy/115411672""
""115436228"",""2025-01-13T16:43:25+0300"","Junior","false",""https://hh.ru/vacancy/115436228""
